Classification;Rule;3.14;3.7.1;SWP;Equivalent to;Part of;Contains;Opposite of;SonarQube-Tags
major;Inner classes which do not reference their owning classes should be "static";X;X;;;;;;Java, performance
critical;Instance methods should not write to "static" fields;X;X;;;;;;Java, bug, multi-threading
minor;Interface names should comply with a naming convention;X;X;;;EJS-018;;;Java, convention
critical;Ints and longs should not be shifted by zero or more than their number of bits-1;X;X;;;;;;Java, bug, cert
critical;Invalid "Date" values should not be used;X;X;X;;;;;Java, bug
critical;IP addresses should not be hardcoded;X;X;;;;;;Java, cert, security
major;Java parser failure;X;X;;;;;;Java, suspicious
blocker;Jump statements should not occur in "finally" blocks / "return" statements should not occur in "finally" blocks;X;X;X;;;;;Java, bug, cert, cwe, error-handling / Java, bug, cwe, error-handling
major;JUnit assertions should include messages;X;X;;;;;;Java, tests
critical;JUnit assertions should not be used in "run" methods;X;X;;;;;;Java, bug, tests
critical;JUnit framework methods should be declared properly;X;X;;;;;;Java, bug, tests
major;JUnit rules should be used;X;X;;;;;;Java, tests, unused
critical;JUnit test cases should call super methods;X;X;;;;;;Java, bug, tests
major;Labels should not be used;X;X;;;;;;Java, confusing
major;Lambdas and anonymous classes should not have too many lines;X;X;;;;;;Java, java8
minor;Lambdas should be replaced with method references;X;X;;;;;;Java, java8
major;Lamdbas containing only one statement should not nest this statement in a block;X;X;;;;;;Java, java8
critical;Lazy initialization of "static" fields should be "synchronized";X;X;;;;;;Java, bug, multi-threading
major;Limited dependence should be placed on operator precedence rules in expressions;X;X;;;;;;Java, cert, cwe, misra
major;Lines should have sufficient coverage by unit tests;X;X;;;;;;Java, bad-practice
minor;Lines should not be too long;X;X;X;EJS-006;;;;Java, convention
major;Literal boolean values should not be used in assertions;X;X;;;;;;Java, junit
minor;Literal suffixes should be upper case;X;X;;;;;;Java, cert, convention, misra, pitfall
minor;Local variable and method parameter names should comply with a naming convention;X;X;;;EJS-025;;;Java, convention
minor;Local Variables should not be declared and then immediately returned or thrown;X;X;;;;;;Java, clumsy
major;Local variables should not shadow class fields;X;X;;;;;;Java, cert, pitfall
major;Locale should be used in String operations;X;;;;;;;Java, cert, unpredictable
critical;Locks should be released;X;X;;;;;;Java, bug, cwe, multi-threading
minor;Loggers should be "private static final" and should share a naming convention;X;X;;;;;;Java, convention
minor;Long suffix "L" should be upper case;X;X;;;;;;DEPRECATED, Java, convention
critical;Loop conditions should be true at least once;X;X;X;;;;;Java, bug
blocker;Loops should not be infinite;X;;;;;;;Java, bug, cert
major;Loops should not contain more than a single "break" or "continue" statement;X;X;;;;;;Java, brain-overload
minor;Magic numbers should not be used;X;X;X;;;;;Java, brain-overload
major;Maps with keys that are enum values should be replaced with EnumMap;X;X;;;;;;Java, performance
critical / major;Math operands should be cast before assignment;X;X;X;;;;;Java, bug, cert, cwe, sans-top25-risky
critical;Math should not be performed on floats;X;X;;;;;;Java, bug, cert
critical / major;Member variable visibility should be specified;X;X;X;;;;;Java, security
minor;Method names should comply with a naming convention;X;X;;EJS-022;;;;Java, convention
major;Method overrides should not change contracts;X;;;;EJS-070;;;Java, suspicious
major;Method parameters, caught exceptions and foreach variables should not be reassigned;X;X;X;;;;;Java, misra, pitfall
blocker;Methods "wait(...)", "notify()" and "notifyAll()" should not be called on Thread instances;X;X;;;;;;Java, bug, multi-threading
major;Methods and field names should not be the same or differ only by capitalization;X;X;;EJS-014;;;;Java, confusing
major;Methods named "equals" should override Object.equals(Object);X;X;;;;;;Java, suspicious
major;Methods of "Random" that return floating point values should not be used in random integer generation;X;;;;;;;Java, clumsy
major;Methods should not be empty;X;X;X;;;;;Java, suspicious
critical;Methods should not be named "hashcode" or "equal";X;X;;;;;;Java, bug, pitfall
major;Methods should not be too complex;X;X;;;;;;Java, brain-overload
major;Methods should not have too many lines;X;X;;;EJS-069;;;Java, brain-overload
major;Methods should not have too many parameters;X;X;;;;;;Java, brain-overload
major;Methods should not have too many return statements;X;X;X;;;;;Java, brain-overload
major;Methods should not return constants;X;;;;;;;Java, confusing
minor;Modifiers should be declared in the correct order;X;X;;;;;;Java, convention, psr2
major;Modulus results should not be checked for direct equality;X;X;;;;;;Java, cert, suspicious
critical;Multiline blocks should be enclosed in curly braces;X;X;;;;;;Java, bug, cert, cwe
major;Multiple loops over the same set should be combined;X;X;;;;;;Java, performance
minor;Multiple variables should not be declared on the same line;X;X;;;;;;Java, cert, convention, misra
critical;Mutable fields should not be "public static";X;X;;;;;;Java, cert, cwe, security, unpredictable
critical;Mutable members should not be stored or returned directly;X;X;;;;;;Java, cert, cwe, security, unpredictable
critical;Neither "Math.abs" nor negation should be used on numbers that could be "MIN_VALUE";X;X;;;;;;Java, bug
critical;Neither DES (Data Encryption Standard) nor DESede (3DES) should be used;X;X;;;;;;Java, cert, cwe, owasp-a6, sans-top25-porous, security
major;Nested "enum"s should not be declared static;X;X;;;;;;Java, clumsy
major;Nested blocks of code should not be left empty;X;X;X;;;;;Java, suspicious
major;Nested code blocks should not be used;X;X;;;;;;Java, bad-practice
major;Non-constructor methods should not have the same name as the enclosing class;X;X;;;;;;Java, pitfall
critical;Non-public methods should not be "@Transactional";X;X;;;;;;Java, bug, spring
critical;Non-serializable classes should not be written;X;X;;;;;;Java, bug, serialization
critical;Non-serializable objects should not be stored in "HttpSession" objects;X;X;;;;;;Java, bug, cwe
critical;Non-thread-safe fields should not be static / "Calendars" and "DateFormats" should not be static;X;X;;;;;;Java, bug, multi-threading / Java, bug, multi-threading
blocker;Null pointers should not be dereferenced;X;X;;;;;;Java, bug, cert, cwe, owasp-a1, owasp-a2, owasp-a6, security
major;Null should not be returned from a "Boolean" method;X;X;;;;;;Java, pitfall
major;Objects should be compared with "equals()";X;X;;EJS-079;;;;Java, cert, cwe
major;Objects should not be created only to "getClass";X;X;;;EJS-101;;;Java, performance
critical;Objects should not be created to be dropped immediately without being used;X;X;X;;EJS-101;;;DEPRECATED, Java, bug
major;Octal values should not be used;X;X;;;;;;Java, cert, misra, pitfall
blocker;Only standard cryptographic algorithms should be used;X;X;;;;;;Java, cwe, owasp-a6, sans-top25-porous, security
major;Only static class initializers should be used;X;X;;;;;;Java, pitfall
minor;Overriding methods should do more than simply call the same method in the super class;X;X;;;;;;Java, clumsy
major;Package declaration should match source file directory;X;X;X;;;;;Java, pitfall
minor;Package names should comply with a naming convention;X;X;;EJS-016;;;;Java, convention
minor;'Packages should have a javadoc file ''package-info.java''';X;X;;EJS-040;;;;Java, convention
minor;Parentheses should be removed from a single lambda input parameter when its type is inferred;X;X;;;;;;Java, java8
major;Parsing should be used to convert "Strings" to primitives;X;X;;;;;;Java, performance
minor;pom elements should be in the recommended order;X;;;;;;;Java, convention, maven
major;Primitive wrappers should not be instantiated only for "toString" or "compareTo" calls;X;X;;;;;;Java, clumsy
major;Primitives should not be boxed just for "String" conversion;X;X;;;;;;Java, performance
critical;Printf-style format strings should not lead to unexpected behavior at runtime;X;X;;;;;;Java, bug, cert, pitfall
critical;Pseudorandom number generators (PRNGs) should not be used in secure contexts;X;X;;;;;;Java, cert, cwe, owasp-a6, security
minor;Public constants and fields initialized at declaration should be "static final" rather than merely "final";X;X;;;;;;Java, convention
major;Public methods should not contain selector arguments;X;X;;;;;;Java, design
major;Public methods should throw at most one checked exception;X;X;;;;;;Java, error-handling
minor;Public types, methods and fields (API) should be documented with Javadoc;X;X;;;EJS-035, EJS-039;EJS-042, EJS-054;;Java, convention
critical;Raw byte values should not be used in bitwise operations in combination with shifts;X;;;;;;;Java, bug, cert
minor;Redundant casts should not be used;X;X;X;;;;;Java, clumsy
minor;Redundant modifiers should not be used;X;X;;;;;;Java, clumsy, finding
blocker;Reflection should not be used to check non-runtime annotations;X;X;;;;;;Java, bug
critical;Related "if/else if" statements should not have the same condition;X;X;X;;;;;Java, bug, cert, pitfall, unused
blocker;Resources should be closed;X;X;;;;;;Java, bug, cert, cwe, denial-of-service, leak, security
minor;Return of boolean expressions should not be wrapped into an "if-then-else" statement;X;X;;;;;;Java, clumsy
critical / major;'Return values should not be ignored when function calls don''t have any side effects';X;X;X;;;;;Java, bug, cert, misra
critical;Return values should not be ignored when they contain the operation status code;X;;;;;;;Java, cert, cwe, error-handling, misra, security
major;Sections of code should not be "commented out";X;X;;;;;EJS-036;Java, misra, unused
critical;Security constraints should be defined;X;;;;;;;Java, cwe, jee, owasp-a7, security, websphere
critical;Servlets should not have mutable instance fields;X;X;;;;;;Java, bug, cert, multi-threading, struts
major;Sets with elements that are enum values should be replaced with EnumSet;X;;;;;;;Java, performance
critical;SHA-1 and Message-Digest hash algorithms should not be used;X;X;;;;;;Java, cwe, owasp-a6, sans-top25-porous, security
critical;Short-circuit logic should be used in boolean contexts;X;X;;;;;;Java, bug, cert
blocker;Short-circuit logic should be used to prevent null pointer dereferences in conditionals;X;X;;;;;;Java, bug
major;Silly bit operations should not be performed;X;X;;;;;;Java, suspicious
critical;Silly equality checks should not be made;X;X;;;;;;Java, bug, cert, unused
major;Silly math should not be performed;X;X;;;;;;Java, clumsy
major;Skipped unit tests should be either removed or fixed;X;X;;;;;;Java, pitfall
minor;Source code should be indented consistently;X;X;;EJS-005;;;;Java, convention
major;Source files should have a sufficient density of comment lines;X;X;;;;EJS-037;;Java, convention
major;Source files should not have any duplicated blocks;X;X;;EJS-075;;;;Java, pitfall
major;Standard outputs should not be used directly to log anything;X;X;;;;;;Java, bad-practice, cert
minor;Statements should be on separate lines;X;X;X;;;;;Java, convention
minor;Static non-final field names should comply with a naming convention;X;X;;;;;;Java, convention
minor;String function use should be optimized for single characters;X;;;;;;;Java, clumsy, performance
minor;String literals should not be duplicated;X;X;;;;;;Java, design
minor;String.valueOf() should not be appended to a String;X;X;;;;;;Java, clumsy
major;Strings literals should be placed on the left side when checking for equality;X;X;;;;;;Java, bad-practice
critical / major;Strings should be compared using "equals()";X;X;X;;;;;DEPRECATED, Java, bug, cwe
